pct_1,pct_2,pct_3,pct_4,pct_5,pct_6,candidate,election_name
1,2,3,4,5,6,"total,election,vote",pct_pct_pct_pct_pct_pct
14,7,4,19,16,11,"hand,count",election_day_386_419_410_482_397_358_2452_14_73_percent
35,23,25,17,35,28,uocava,election_day_386_419_410_482_397_358_2452_14_73_percent
13,1802,1952,1832,1988,1909,"advanced,processing",election_day_386_419_410_482_397_358_2452_14_73_percent
30,28,30,38,31,24,"post,election,ballots",election_day_386_419_410_482_397_358_2452_14_73_percent
2267,2429,2301,2544,2388,2089,"total,voted",election_day_386_419_410_482_397_358_2452_14_73_percent
2856,2844,2653,2964,2795,2535,"totalregistered,voters",total_registered_voters_2856_2844_2653_2964_2795_2535_16647
16,21,18,12,14,10,blank,electors_of_president_and_vice_president
1761,1912,1834,2051,1897,1650,"biden,and,harris",electors_of_president_and_vice_president
11,13,15,9,15,11,"hawkins,and,walker",electors_of_president_and_vice_president
24,30,34,40,44,21,"jorgensen,and,cohen",electors_of_president_and_vice_president
447,441,388,416,396,383,"trump,and,pence",electors_of_president_and_vice_president
8,12,12,16,22,14,scattered,electors_of_president_and_vice_president
2267,2429,2301,2544,2388,2089,total,electors_of_president_and_vice_president
33,52,29,48,47,37,blank,senator_in_congress
1718,1809,1765,1985,1856,1598,"edward,j.,markey",senator_in_congress
499,558,497,479,472,436,"kevin,j.,o",senator_in_congress
15,9,6,29,11,14,"dr,shiva",senator_in_congress
2,1,4,3,2,4,scattered,senator_in_congress
2267,2429,2301,2544,2388,2089,total,senator_in_congress
402,465,405,400,391,387,blank,representative_in_congress
1852,1936,1855,2122,1964,1680,"lori,loureiro,trahan",representative_in_congress
0,2,3,2,5,1,dr,representative_in_congress
13,26,38,20,28,21,scattered,representative_in_congress
2267,2429,2301,2544,2388,2089,total,representative_in_congress
526,593,549,559,498,479,blank,councillor
1735,1815,1718,1972,1870,1592,"marilyn,m.,petitto",councillor
0,2,2,0,4,1,"dr,shiva",councillor
6,19,32,13,16,17,scattered,councillor
2267,2429,2301,2544,2388,2089,total,councillor
460,498,448,434,423,408,blank,senator_in_general_court
1797,1912,1820,2081,1934,1655,"james,b.,eldridge",senator_in_general_court
0,2,4,1,6,1,dr,senator_in_general_court
10,17,29,28,25,25,scattered,senator_in_general_court
2267,2429,2301,2544,2388,2089,total,senator_in_general_court
486,542,0,0,0,442,blank,representative_in_general_court_14th
1774,1871,0,0,0,1628,"tami,l.,gouveia",representative_in_general_court_14th
7,16,0,0,0,19,scattered,representative_in_general_court_14th
2267,2429,0,0,0,2089,total,representative_in_general_court_14th
0,0,126,154,138,0,blank,representative_in_general_court_37th
0,0,1731,1938,1823,0,"danillo,a.,sena",representative_in_general_court_37th
0,0,441,449,422,0,"catherine,j.,clark",representative_in_general_court_37th
0,0,3,3,5,0,scattered,representative_in_general_court_37th
0,0,2301,2544,2388,0,total,representative_in_general_court_37th
629,762,691,706,661,607,blank,register_of_probate
1634,1654,1578,1830,1711,1470,"tara,e.,decristofaro",register_of_probate
4,13,32,8,16,12,scattered,register_of_probate
2267,2429,2301,2544,2388,2089,total,register_of_probate
123,94,69,95,95,69,blank,question_1_motor_vehicle_right_to_repair
1573,1716,1750,1894,1781,1492,yes,question_1_motor_vehicle_right_to_repair
571,619,482,555,512,528,no,question_1_motor_vehicle_right_to_repair
2267,2429,2301,2544,2388,2089,total,question_1_motor_vehicle_right_to_repair
81,55,52,70,71,68,blank,question_2_ranked_choice_voting
1293,1370,1354,1532,1396,1224,yes,question_2_ranked_choice_voting
893,1004,895,942,921,797,no,question_2_ranked_choice_voting
2267,2429,2301,2544,2388,2089,total,question_2_ranked_choice_voting
