pct_1,pct_2,pct_3,pct_4,pct_5,pct_6,pct_6a,pct_7,candidate,election_name
6,3,6,2,5,3,3,2,overseas,pct_pct_pct_pct4_pct5_pct6_pcta_pct_total_percent
41,42,63,59,64,44,12,53,hand_count,pct_pct_pct_pct4_pct5_pct6_pcta_pct_total_percent
1072,1572,1783,1581,1571,1090,467,1224,total,pct_pct_pct_pct4_pct5_pct6_pcta_pct_total_percent
1930,2317,2581,2368,2399,1602,740,2074,total,total_registered_voters
11,8,17,14,18,9,2,15,blanks,governor_lieutenant_governor
257,361,355,290,306,220,72,293,diehl,governor_lieutenant_governor
782,1177,1381,1252,1221,841,379,903,healey,governor_lieutenant_governor
21,23,29,24,25,19,14,13,reed,governor_lieutenant_governor
1,3,1,1,1,1,0,0,scattered,governor_lieutenant_governor
16,34,44,38,32,24,11,20,blanks,attorney_general
784,1132,1338,1233,1188,826,368,891,andrea,attorney_general
272,406,400,310,350,239,88,313,james,attorney_general
0,0,1,0,1,1,0,0,scattered,attorney_general
9,26,34,25,24,18,7,26,blanks,secretary_of_state
819,1234,1395,1259,1262,870,378,942,william,secretary_of_state
215,287,296,234,254,175,64,238,rayla,secretary_of_state
27,25,57,63,29,27,18,18,juan,secretary_of_state
2,0,1,0,2,0,0,0,scattered,secretary_of_state
77,117,133,108,123,73,23,102,blanks,treasurer
822,1216,1388,1267,1242,860,384,936,deborah,treasurer
172,237,258,206,201,155,60,185,christina,treasurer
1,2,4,0,5,2,0,1,scattered,treasurer
40,84,89,89,86,65,19,72,blanks,auditor
290,474,465,370,382,277,98,353,anthony,auditor
677,950,1111,1006,1009,692,325,757,diana,auditor
23,27,71,67,44,30,10,17,gloria,auditor
14,13,21,23,23,10,4,12,dominic,auditor
27,24,26,26,27,15,11,13,daniel,auditor
1,0,0,0,0,1,0,0,scattered,auditor
32,48,61,39,48,30,7,39,blanks,representative_in_congress
789,1174,1370,1275,1241,851,382,921,lori,representative_in_congress
249,350,352,267,279,208,78,264,dean,representative_in_congress
230,368,423,339,328,244,85,291,blanks,councillor
837,1195,1342,1232,1231,838,380,921,marilyn,councillor
0,1,5,3,6,0,0,5,mara,councillor
5,8,13,7,6,8,2,7,scattered,councillor
27,36,45,49,54,36,8,40,blanks,senator_in_general_court
810,1189,1386,1247,1228,848,383,925,james,senator_in_general_court
234,346,350,284,288,204,76,259,anthony,senator_in_general_court
1,1,2,1,1,2,0,0,scattered,senator_in_general_court
29,44,0,0,0,40,0,49,blanks,blanks_overvote_undervote_percent
785,1198,0,0,0,837,0,910,simon,blanks_overvote_undervote_percent
256,329,0,0,0,206,0,265,rodney,blanks_overvote_undervote_percent
2,1,0,0,0,7,0,0,scattered,blanks_overvote_undervote_percent
0,0,335,289,290,0,74,0,blanks,pct_pct_pct_pct4_pct5_pct6_pcta_pct_total_percent
0,0,1438,1286,1274,0,390,0,danillo,pct_pct_pct_pct4_pct5_pct6_pcta_pct_total_percent
209,333,378,308,308,222,80,272,blanks,district_attorney
859,1233,1395,1267,1257,861,385,952,marian,district_attorney
4,6,10,6,6,7,2,0,scattered,district_attorney
208,339,391,316,318,237,82,277,blanks,sheriff
860,1228,1382,1257,1246,848,383,947,peter,sheriff
4,5,10,8,7,5,2,0,scattered,sheriff
16,26,19,21,21,15,5,19,blanks,question_one
667,795,1127,986,964,626,295,681,yes,question_one
389,751,637,574,586,449,167,524,no,question_one
20,33,29,55,34,28,16,31,blanks,question_two
821,1167,1354,1225,1233,854,366,932,yes,question_two
231,372,400,301,304,208,85,261,no,question_two
51,70,61,88,72,52,16,64,blanks,question_three
484,811,930,829,799,579,237,565,yes,question_three
537,691,792,664,700,459,214,595,no,question_three
21,26,14,29,25,19,4,22,blanks,question_four
674,1037,1208,1097,1093,738,336,790,yes,question_four
377,509,561,455,453,333,127,412,no,question_four
104,184,0,0,0,137,0,146,blanks,question_five
675,876,0,0,0,659,0,735,yes,question_five
293,512,0,0,0,294,0,343,no,question_five
98,163,0,0,0,114,0,138,blanks,question_six
865,1275,0,0,0,894,0,977,yes,question_six
109,134,0,0,0,82,0,109,no,question_six
